ZipCode,Neighborhood,AverageHouseholdSize,HouseholdwithChildren,Households,MedianAge,MedianHouseholdIncome,PercentHouseholdChange2020to2023,AverageCommuteTime(Minutes),Population16+:Unemployed%,TransportationtoWork:Bicycle(%),TransportationtoWork:PublicTransportation(%),TransportationtoWork:Walked(%),H/L%,Hispanic/Latino,HomeValue,HousePaymentas%ofIncome,HousingUnits,NonH/L%,NotHispanic/Latino,Population(Sheet1),PropertyTaxRate,RentForHouses,Value/IncomeRatio,%Age18+,%Age25+,%Age65+,%Under18,15+Divorced,"15+Married,SpouseAbsent","15+Married,SpousePresent",15+NeverMarried,15+NeverMarriedRanking,15+Widowed,MedianAge1,Population,SpeakAsian/PacificIslander,SpeakEnglishOnly,SpeakIndo-European,SpeakOtherLanguage,SpeakSpanish,%Pop25+Associates,%Pop25+Bachelors,%Pop25+Doctorate,%Pop25+HSGrad,%Pop25+Masters,%Pop25+NonHSGrad,%Pop25+Professional,AvgVehiclesAvailable,AVGCntrDist,AVGHwyDist,AVGOceanDist,AVGRailDist,AVGSubcenterDist,AvgWaterDist,MedianSpecFeatValu,"Restaurants,Bars,Bakeries",Supermarkets,School District Score,%White,%Black/African American,%American Indian/Alaskan Native,%Asian,%Native Hawaiian/Pacific Islander,%Other Race,%2+Races,Housing Density,Households with Children,normalized_commute_time,Commute Time Score,normalized_hwy_dist,normalized_rail_dist,Rail/Hwy Score,normalized_rest,normalized_sup,normalized_cntr,normalized_sub,Amenities Score,Central Score,normalized_wat_dist,normalized_oce_dist,Aquatic Proximity Score,normalized_hom_val,normalized_rent,Property Affordability Score,normalized_med_age,Age Score,Age Range Score,Diversity Score,Ethnicity Score,Race Score,normalized_med_inc,Income Score,Language Index,College degree Index,Education Index,Marriage Index,CommuteTimeCategories,CommuteTimeCategoriesNum,RailHwyCategories,RailHwyCategoriesNum,CentralCategories,CentralCategoriesNum,AmenitiesCategories,AmenitiesCategoriesNum,EducationCategories,EducationCategoriesNum,AquaticCategories,AquaticCategoriesNum,PropertyAffordabilityCategories,PropertyAffordabilityCategoriesNum,IncomeCategories,IncomeCategoriesNum,MarriageCategories,MarriageCategoriesNum,MedianCategories,MedianCategoriesNum,HDCategories,HDCategoriesNum,ChildCategories,ChildCategoriesNum
33010,Hialeah,2.74,34.45,15468,46.9,36456,-1.46,32,0.0404,0.008,0.0321,0.0159,0.954370775,41225,483867,0.8797,16273,0.045629225,1971,42081,0.0092,3615,11.33,83.64,77.28,23.09,16.36,13.75,11.55,32.83,34.42,43,7.44,46.9,43196,0.18,6.27,0.1,0.0,93.44,0.0432,0.098,0.0051,0.3136,0.0251,0.1368,0.0077,1.5,33394.84742,8088.568041,37839.50825,1803.220619,30180.41959,3533.565979,3374.0,180,24,2.0,26.61,1.6,0.2,0.19,0.01,11.09,60.31,3751.45,34.45,0.3181818181818182,0.09354545454545454,0.2885688202212498,0.04953832545978148,0.16905357284051564,0.16007359705611776,0.7741935483870968,0.19380378692456032,0.25652129434190507,0.46713357272160727,0.2251625406332327,0.07496495050479637,0.5285127729237156,0.30173886171425596,0.14850605495342575,0.4302819621475473,0.19768701062563449,0.8628318584070795,49.45400000000001,50.0925,11.223333333333333,0.5,14.287142857142857,0.05020127180444548,0.04530063590222274,19.997999999999998,0.04285,0.37348333333333333,21.714,Low,1,Low,1,Nearby,1,High,2,Less educated,3,Not far,2,Fair,2,Poor,1,Mostly married,2,Older,2,High,3,Medium,2
33012,Hialeah,2.85,34.43,23864,48.0,38599,-1.51,34,0.0353,0.0016,0.0204,0.0184,0.957954479,65321,374812,0.6653,25795,0.042045521,2867,71088,0.0062,2905,8.59,84.31,78.09,25.54,15.69,15.06,10.6,36.76,28.77,71,8.8,48.0,68188,0.07,5.55,0.4,0.01,93.97,0.0765,0.1083,0.0034,0.3122,0.0264,0.1396,0.0128,1.6,47942.46145,8035.070391,53120.66536,7213.282682,44768.0,7136.63352,4368.0,347,30,1.5,27.66,0.91,0.11,0.22,0.01,11.12,59.97,4215.56,34.43,0.4090909090909091,0.11237272727272728,0.286290409642146,0.2710187853925815,0.27865459751736377,0.3137074517019319,0.967741935483871,0.29026698478431645,0.4003727457275486,0.6407246935929014,0.3453198652559325,0.1569304549022419,0.7490522950555052,0.45299137497887354,0.06674244105492344,0.2931633835457706,0.12084599148570055,0.911504424778761,50.326,50.9075,11.222222222222221,0.5,14.285714285714286,0.06582900647570153,0.050564503237850764,20.0,0.053649999999999996,0.37661666666666666,28.444000000000006,Medium,2,Medium,2,Not far,2,High,2,Less educated,3,Far,3,Inexpensive,1,Poor,1,Mostly married,2,Older,2,High,3,Medium,2
33013,Hialeah,3.16,37.82,9419,47.8,44411,-1.58,34,0.0288,0.0016,0.0243,0.0043,0.953994034,28782,510693,0.6849,9668,0.046005966,1388,29830,0.0082,3111,8.95,84.06,77.82,24.85,15.94,12.35,12.48,33.38,33.31,50,8.47,47.8,30170,0.28,7.18,0.1,0.03,92.41,0.08,0.1057,0.0027,0.3469,0.0231,0.1429,0.0108,1.9,40171.87176,15486.13359,46430.82443,3174.871756,39967.49924,8366.326718,3395.0,130,8,1.0,29.51,1.03,0.11,0.16,0.02,11.64,57.53,2610.25,37.82,0.4090909090909091,0.10982272727272728,0.6036236236837342,0.1056918263165993,0.3546577250001668,0.1140754369825207,0.25806451612903225,0.23874128928485652,0.3530339148662978,0.18606997655577648,0.2958876020755772,0.18490451369554547,0.652503695285243,0.41870410449039425,0.16861875686018127,0.33294708381614524,0.1755316278889161,0.902654867256637,50.094,50.6675,11.222222222222221,0.5,14.285714285714285,0.10821276471617759,0.0685063823580888,20.0,0.052875000000000005,0.4121583333333333,23.336000000000002,Medium,2,Medium,2,Nearby,1,Low,1,Less educated,3,Far,3,Fair,2,Poor,1,Mostly married,2,Older,2,Medium,2,Medium,2
33014,Hialeah,2.67,37.68,15060,42.7,55114,0.27,34,0.0334,0.0047,0.0179,0.0084,0.91433952,36900,418933,0.4599,15027,0.08566048,3457,40739,0.0061,3265,5.78,81.48,73.89,18.06,18.52,12.91,10.16,39.02,31.53,59,6.39,42.7,40357,0.34,10.19,1.68,0.25,87.54,0.112,0.1567,0.0112,0.3045,0.0495,0.1128,0.026,1.7,58903.63286,4587.81,61362.83714,15064.76714,57148.60429,5816.885714,8258.0,248,11,2.0,27.3,1.9,0.19,0.61,0.02,13.1,56.88,2485.03,37.68,0.4090909090909091,0.11002272727272727,0.13947509076777292,0.592447702226261,0.365961396497017,0.22263109475620976,0.3548387096774194,0.3629489822800619,0.5224607031606364,0.2887349022168146,0.44270484272034916,0.1269077608047037,0.8680043228767362,0.49745604184071995,0.09982201016056573,0.3626882966396292,0.15483529305611504,0.676991150442478,46.93000000000001,47.987500000000004,11.222222222222221,0.5,14.285714285714286,0.18626392859226415,0.10983196429613207,20.000000000000004,0.08234999999999999,0.36955,25.496000000000002,Medium,2,Medium,2,Not far,2,High,2,Less educated,3,Far,3,Fair,2,Fair,2,Mostly married,2,Older,2,Medium,2,Medium,2
33015,Hialeah,2.94,46.52,22044,38.6,65206,-0.61,39,0.0378,0.0001,0.0093,0.0058,0.888346149,57651,406443,0.4455,23919,0.111653851,7246,68517,0.0076,3400,5.65,77.75,69.45,13.26,22.25,14.94,9.45,35.65,34.43,42,5.54,38.6,64897,0.46,15.46,1.41,1.03,81.64,0.1294,0.1702,0.0038,0.2962,0.0547,0.081,0.0191,1.9,74682.5417,4374.635745,66782.50766,24289.75149,73654.23191,1696.385957,3988.0,213,6,2.5,23.64,5.16,0.29,1.14,0.01,16.58,53.19,3921.34,46.52,0.6363636363636364,0.1628909090909091,0.13039621575579474,0.9701058053900365,0.5502510105729157,0.19043238270469182,0.1935483870967742,0.4675767241424142,0.6852264547406798,0.191990384900733,0.576401589441547,0.03317128844917296,0.9462216684604929,0.48969647845483294,0.09045767530574665,0.3887601390498262,0.16041111183724652,0.49557522123893816,44.26200000000001,45.677499999999995,11.223333333333333,0.5,14.287142857142857,0.25985940143515546,0.14882970071757773,20.0,0.089525,0.3530416666666667,21.516000000000002,Medium,2,High,3,Far,3,Low,1,Less educated,3,Far,3,Fair,2,Fair,2,Mostly married,2,Older,2,High,3,High,3
33016,HialeahGardens,2.94,45.43,15293,41.9,52873,-0.46,33,0.025,0.0019,0.0093,0.0097,0.941392671,42518,304892,0.4263,16055,0.058607329,2647,45620,0.0076,3368,5.51,80.32,72.27,16.58,19.68,12.52,10.44,39.48,31.11,61,6.44,41.9,45165,0.14,7.01,0.75,0.04,92.06,0.0827,0.1733,0.008,0.3226,0.0397,0.1139,0.0184,1.7,65759.24758,2781.092742,67539.44032,12820.83145,61425.76129,4029.148387,5184.0,221,10,3.0,23.14,1.0,0.16,0.59,0.0,15.04,60.07,3766.49,45.43,0.36363636363636365,0.09613409090909092,0.06252883772532233,0.5005840779473865,0.2815564578363544,0.19779208831646733,0.3225806451612903,0.4084076064793194,0.5646387220617344,0.26018636673887885,0.4865231642705269,0.08623886129886012,0.9571458128770896,0.5216923370879748,0.014320159785992334,0.38258014677481655,0.1281021079468419,0.6415929203539823,46.150000000000006,47.21249999999999,11.222222222222221,0.5,14.285714285714285,0.169921533166093,0.09746076658304649,20.000000000000004,0.075925,0.38587499999999997,25.976000000000003,Low,1,Medium,2,Not far,2,High,2,Less educated,3,Far,3,Inexpensive,1,Poor,1,Mostly married,2,Older,2,High,3,High,3
33018,HialeahGardens,3.26,52.35,17013,41.2,73890,3.24,37,0.0235,0.0022,0.0106,0.0026,0.92306447,51315,519274,0.4795,17452,0.07693553,4277,55241,0.0104,3105,5.98,80.15,71.76,15.39,19.85,13.28,8.72,42.14,31.6,58,4.25,41.2,55592,0.32,5.84,0.17,0.01,93.66,0.1119,0.1794,0.0079,0.3132,0.0484,0.0965,0.0181,2.2,69299.26909,3364.110455,70508.80182,10418.69727,63648.84591,4214.367273,4008.5,147,6,2.0,25.01,1.53,0.15,1.18,0.02,14.28,57.84,623.1,52.35,0.5454545454545454,0.14021363636363635,0.08735896998541327,0.4022440262416433,0.24480149811352828,0.1297148114075437,0.1935483870967742,0.4318809949430717,0.5865610656000004,0.16163159925215895,0.5092210302715361,0.09045237082710766,1.0,0.5452261854135538,0.17505233231167866,0.3317883352645809,0.17995743350404572,0.6106194690265488,45.67000000000001,46.7875,11.223333333333333,0.5,14.287142857142857,0.3231870952686541,0.17334354763432705,20.0,0.0869,0.3743333333333333,25.278000000000006,Medium,2,Medium,2,Far,3,Low,1,Less educated,3,Far,3,Fair,2,Fair,2,Mostly married,2,Older,2,Low,1,High,3
33030,Homestead,3.4,47.51,10683,33.2,49455,-0.6,43,0.0438,0.0088,0.0383,0.0119,0.776697443,28518,470636,0.9502,11164,0.223302557,8199,36405,0.0083,3475,11.99,72.12,62.03,10.24,27.88,9.35,8.89,35.78,41.76,19,4.21,33.2,36717,0.62,28.31,3.55,3.07,64.44,0.0764,0.0838,0.0061,0.2871,0.0292,0.1243,0.0059,1.7,150301.6238,10310.135,52219.78625,3304.86125,100173.6863,20802.43375,1525.0,120,16,1.71,29.86,12.63,3.01,0.66,0.11,20.53,33.22,644.45,47.51,0.8181818181818182,0.21929545454545457,0.3831831006910063,0.11101341645406756,0.24709825857253692,0.10487580496780129,0.5161290322580645,0.968996301506981,0.9467408318159714,0.3105024186129329,0.9578685666614761,0.4678111686553335,0.7360506979259334,0.6019309332906334,0.138586157878637,0.40324449594438005,0.18470781193476882,0.2566371681415931,41.094,43.0675,11.224444444444444,0.5,14.288571428571428,0.14499591622425761,0.09439795811212881,19.997999999999998,0.048875,0.34482500000000005,15.446000000000003,High,3,Medium,2,Far,3,High,2,Educated,2,Far,3,Fair,2,Poor,1,Mostly single,1,Mostly Young,1,Low,1,High,3
33031,Homestead,3.03,37.1,2105,45.3,98476,1.54,47,0.0352,0.0003,0.0136,0.0122,0.680118417,4365,818610,0.5811,2437,0.319881583,2053,7692,0.0093,2783,7.32,81.3,73.64,20.01,18.7,9.38,5.62,46.19,34.23,44,4.59,45.3,6418,0.82,40.79,0.92,0.56,56.91,0.1418,0.1191,0.008,0.3434,0.0715,0.0821,0.0205,2.7,133522.5339,22070.71786,48849.08214,8107.344643,82949.2875,25690.8625,10493.5,8,0,,41.99,4.19,1.26,1.82,0.05,9.58,41.1,100.67,37.1,1.0,0.256525,0.8840543801705688,0.30762044578479086,0.5958374129776798,0.0018399264029438822,0.0,0.8577364986559746,0.776887113996764,0.0009199632014719411,0.8173118063263694,0.579017112936222,0.6874042853332251,0.6332106991347235,0.39947847627501903,0.2696021629972963,0.24997203940919652,0.7920353982300884,47.790000000000006,48.412499999999994,11.22111111111111,0.5,14.284285714285716,0.5024794352721544,0.2688397176360772,20.0,0.08510000000000001,0.39913333333333334,21.956,High,3,High,3,Far,3,Low,1,Less educated,3,Far,3,Fair,2,Wealthy,3,Mostly married,2,Older,2,Low,1,Medium,2
33032,Homestead,3.37,54.81,18465,34.4,65096,6.12,45,0.0584,0.0002,0.0225,0.003,0.725584517,45402,453676,0.4981,17806,0.274415483,17171,57327,0.0095,3004,6.16,72.32,63.08,10.5,27.68,12.18,6.91,38.88,37.74,32,4.29,34.4,62573,0.59,35.23,3.1,0.02,61.07,0.1138,0.1769,0.0058,0.2694,0.0457,0.1183,0.0077,2.0,110915.7854,2783.286342,19786.71177,14973.62763,62931.36484,13105.77943,2101.0,91,7,2.0,23.25,20.17,0.39,1.27,0.01,14.59,40.32,1062.45,54.81,0.9090909090909091,0.23369772727272725,0.06262226092141267,0.5887165767127662,0.32566941881708944,0.078196872125115,0.22580645161290322,0.707834305139967,0.5794858214292488,0.1520016618690091,0.6436600632846079,0.2927214301664213,0.26797261355082025,0.2803470218586208,0.12587045578594436,0.3122827346465817,0.15353300270835227,0.30973451327433627,41.596,43.394999999999996,11.222222222222223,0.5,14.285714285714286,0.25905723120004664,0.15872861560002333,20.002,0.08555,0.33735,18.852,High,3,Medium,2,Far,3,Low,1,Educated,2,Not far,2,Fair,2,Fair,2,Mostly single,1,Mostly Young,1,Low,1,High,3
